yh,xh,geolon,geolat,mask
35.028846740722656,-69.92001342773438,-69.92001,35.028847,1.0
35.028846740722656,-69.83999633789062,-69.84,35.028847,1.0
35.028846740722656,-69.760009765625,-69.76001,35.028847,1.0
35.028846740722656,-69.67999267578125,-69.67999,35.028847,1.0
35.028846740722656,-69.60000610351562,-69.600006,35.028847,1.0
35.028846740722656,-69.51998901367188,-69.51999,35.028847,1.0
35.028846740722656,-69.44000244140625,-69.44,35.028847,1.0
35.028846740722656,-69.3599853515625,-69.359985,35.028847,1.0
35.028846740722656,-69.27999877929688,-69.28,35.028847,1.0
35.028846740722656,-69.20001220703125,-69.20001,35.028847,1.0
35.028846740722656,-69.1199951171875,-69.119995,35.028847,1.0
35.028846740722656,-69.04000854492188,-69.04001,35.028847,1.0
35.09432601928711,-76.95999145507812,-76.95999,35.094326,0.0
